Security,Sector,Sub-Sector,City/State,Year,Submission,Score
Cadence Design Systems,Information Technology,Application Software,"San Jose, California",2023,Submitted,B
Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",2023,Submitted,B
Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",2023,Submitted,C
Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",2023,Submitted,C
Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",2023,Submitted,Not Scored
Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",2023,Submitted,B
CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",2023,No Response,F
Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2023,Submitted,C
Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",2023,Submitted,B
Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",2023,Submitted,B
Caterpillar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",2023,No Response,F
Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",2023,Submitted,Not Scored
CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",2023,Submitted,A-
CDW,Information Technology,Technology Distributors,"Vernon Hills, Illinois",2023,Submitted,C
Celanese,Materials,Specialty Chemicals,"Irving, Texas",2023,Submitted,B
Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",2023,Submitted,C
CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",2023,No Response,F
CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2023,No Response,F
Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",2023,Submitted,A-
Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",2023,Submitted,C-
Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",2023,No Response,F
Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",2023,No Response,F
Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",2023,Submitted,B
Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2023,Submitted,B
Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",2023,Submitted,A-
Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",2023,Submitted,B
Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",2023,No Response,F
Cintas,Industrials,Diversified Support Services,"Mason, Ohio",2023,No Response,F
Cisco,Information Technology,Communications Equipment,"San Jose, California",2023,See Another,A
Citigroup,Financials,Diversified Banks,"New York City, New York",2023,Submitted,Not Scored
Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",2023,See Another,Not Scored
Clorox,Consumer Staples,Household Products,"Oakland, California",2023,Submitted,A-
CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",2023,Declined to participate,F
CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",2023,Submitted,Not Scored
Coca-Cola Company,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",2023,Submitted,A-
Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2023,Submitted,D
Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",2023,Submitted,A-
Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2023,Submitted,B
Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2023,Submitted,Not Scored
ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2023,See Another,C
Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York",2023,Submitted,Not Scored
Constellation Brands,Consumer Staples,Distillers & Vintners,"Rochester, New York",2023,Submitted,B
Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland",2023,Submitted,B
